,1HV3,1HV6,1HV9,1HV12,1HV15,1HV18,1HV21,1HV27,1HV30,1HV33,3HV8,3HV12,3HV14,3HV18,3HV20,3HV23,3HV26,3HV27,3HV31,3HV34,5HV6,5HV9,5HV14,5HV15,5HV17,5HV20,5HV26,5HV27,5HV30,5HV33,6HV3,6HV6,6HV9,6HV12,6HV15,6HV18,6HV21,6HV24,6HV29,6HV32,6HV35,6HV38,7HV3,7HV5,7HV8,7HV11,7HV13,7HV15,7HV18,7HV21,7HV24,7HV27,7HV30,7HV33,8HV3,8HV6,8HV9,8HV12,8HV15,8HV18,8HV21,8HV24,8HV27,8HV30,8HV33,9HV3,9HV6,9HV9,9HV13,9HV15,9HV18,9HV24,9HV29,9HV31,9HV34,9HV37,9HV40,11HV3,11HV6,11HV9,11HV12,11HV16,11HV17,11HV20,11HV22,11HV25,11HV28,11HV31,11HV34,12HV3,12HV9,12HV12,12HV15,12HV18,12HV21,12HV24,12HV27,12HV30,12HV33,13HV3,13HV6,13HV11,13HV14,13HV17,13HV20,13HV27,13HV30,13HV34,14HV3,14HV7,14HV9,14HV12,14HV15,14HV18,14HV21,14HV24,14HV27,14HV30,14HV33,15HV3,15HV6,15HV9,15HV11,15HV14,15HV17,15HV20,15HV23,15HV27,15HV30,15HV33,1AV5,1AV10,1AV13,1AV16,1AV19,1AV22,1AV26,1AV27,1AV29,1AV32,1AV35,2AV3,2AV6,2AV9,2AV12,2AV15,2AV18,2AV21,2AV26,2AV27,2AV30,2AV33,4AV5,4AV8,4AV11,4AV14,4AV17,4AV24,4AV31,4AV32,4AV34,4AV37,4AV40,5AV6,5AV9,5AV13,5AV16,5AV20,5AV22,5AV25,5AV28,5AV31,5AV34,5AV37,6AV7,6AV9,6AV12,6AV15,6AV19,6AV22,6AV25,6AV27,6AV28,6AV31,6AV34,7AV3,7AV6,7AV9,7AV11,7AV14,7AV17,7AV20,7AV23,7AV27,7AV30,7AV32,7AV35,8AV3,8AV6,8AV9,8AV12,8AV15,8AV18,8AV21,8AV23,8AV26,8AV28,8AV31,8AV34,8AV37,9AV3,9AV6,9AV9,9AV12,9AV15,9AV18,9AV21,9AV24,9AV27,9AV30,9AV33,10AV3,10AV6,10AV9,10AV12,10AV15,10AV18,10AV21,10AV24,10AV26,10AV29,10AV32,10AV35,11AV3,11AV7,11AV9,11AV12,11AV19,11AV21,11AV23,11AV26,11AV29,11AV32,11AV35,12AV6,12AV9,12AV12,12AV15,12AV18,12AV21,12AV24,12AV27,12AV30,12AV33,12AV36,12AV39,13AV5,13AV8,13AV12,13AV20,13AV23,13AV26,13AV29,13AV32,13AV35
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-3p,13,24,41,12,36,20,2,32,0,16,10,6,44,2,16,0,0,4,6,0,18,8,0,3,12,7,0,2,0,2,24,16,16,9,24,54,8,4,2,0,7,18,0,16,31,18,2,24,1,26,2,2,0,49,57,12,10,0,30,19,6,74,10,6,0,18,0,19,22,25,16,2,2,22,12,2,54,12,18,34,18,17,10,9,22,0,15,9,4,2,44,31,3,8,6,6,0,0,4,7,8,10,32,26,3,10,11,6,4,22,13,3,31,4,4,53,6,8,10,16,17,19,31,10,34,0,6,28,0,68,18,16,11,21,4,30,0,38,16,8,12,13,12,12,17,6,38,0,12,38,28,2,4,4,34,10,12,10,9,0,8,2,27,7,32,12,6,26,4,8,0,42,4,0,0,0,2,4,0,0,2,12,4,0,0,7,15,15,9,20,32,4,6,20,4,9,8,8,20,4,2,4,10,2,2,8,2,8,6,8,4,4,16,2,26,2,2,6,6,0,2,4,16,7,22,18,18,2,4,1,0,15,74,2,5,4,6,2,4,0,0,0,0,32,8,8,31,19,14,8,4,4,0,30,8,8,16,22,4,2,20,0,0,4,42
hsa-let-7a-5p,1827,13232,8348,5565,3752,8184,99,6674,9,7526,420,954,14499,7532,8614,51,66,33,363,287,3762,117,102,465,4511,2122,84,99,60,111,2617,6789,26771,2809,1104,7623,1030,1482,609,12,3950,2290,78,13587,17935,8940,243,10023,624,2551,267,9,9,9031,5692,1979,1752,2499,8424,4698,3101,18472,7936,45,64,1911,36,17119,9466,501,2657,886,30,16429,7381,787,23713,4739,3234,11074,2869,17050,5355,1987,918,78,2512,3508,372,87,6013,9830,573,1294,672,255,805,6,138,4845,9150,12851,8357,7393,1221,646,759,4771,2740,12703,5844,2896,15447,618,247,22162,939,718,7261,3769,17977,3876,17620,208,7223,363,339,2415,0,32978,1902,10016,1123,2365,486,5063,15,20226,8309,777,283,4222,9173,8666,5711,5186,6280,1775,3643,8491,10416,342,640,1066,17784,793,1624,1290,7040,436,1623,1534,554,10699,8113,1281,2124,5418,477,2842,309,6312,2619,18,2950,330,33,798,162,366,213,1555,309,30,144,3388,10822,14394,6326,10605,6578,174,1268,4732,550,1307,2160,2493,13201,7765,3332,3240,3368,519,192,360,228,2470,96,648,1936,2895,10199,153,6830,3529,1404,693,105,162,144,3772,13319,6757,3689,4105,2475,474,1221,63,12,5820,6088,36,697,1485,657,162,1327,0,39,954,21,507,13660,1743,9654,5928,6027,1543,390,270,15,6306,96,408,9388,2996,4458,351,381,141,6,903,5067
hsa-let-7b-3p,5,1,5,0,2,3,1,6,0,1,1,0,2,2,1,0,0,0,1,0,1,0,2,1,4,1,0,1,0,2,1,5,1,2,4,2,0,0,0,0,1,0,0,2,1,2,2,2,2,1,2,0,0,11,3,1,1,11,6,2,0,2,2,1,1,2,0,2,1,5,6,1,1,6,6,4,3,5,2,0,1,1,1,0,1,0,3,1,2,4,8,1,0,0,0,1,1,0,0,0,2,3,3,5,1,1,0,0,5,5,0,3,6,1,0,6,1,3,4,0,1,4,1,1,3,0,0,4,0,18,6,1,3,1,0,4,0,5,5,1,0,3,6,5,6,2,3,0,1,2,5,0,4,1,4,0,4,0,0,6,5,3,5,2,2,1,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,3,3,1,1,3,0,4,2,0,3,6,4,4,1,0,4,0,0,0,1,1,0,2,0,1,4,1,0,3,0,0,0,0,4,2,1,2,3,0,2,1,0,2,3,2,1,1,2,1,2,0,0,0,0,1,0,3,3,2,3,5,4,2,0,5,2,1,0,2,3,0,2,0,0,5,2
hsa-let-7b-5p,577,2704,725,585,343,741,15,1978,7,1587,148,228,944,1027,922,71,72,14,131,189,1111,71,38,124,688,338,71,57,51,55,281,718,1258,359,94,1779,233,806,333,19,518,288,48,1112,1688,1064,95,850,187,513,111,12,4,977,1328,360,380,198,1171,574,1800,4999,1675,46,48,211,23,1100,767,66,500,352,3,3947,489,66,3563,435,473,1560,605,2453,952,209,545,52,1387,1001,208,20,2633,2330,67,543,202,57,112,3,194,580,3039,1014,903,2306,320,245,93,417,1162,2055,956,569,3809,444,98,5229,124,176,3435,736,1133,714,1302,28,845,104,198,1098,0,2726,595,1845,360,426,99,2033,14,4937,2853,226,198,410,1299,797,317,559,463,781,743,2008,2505,180,148,302,2142,89,376,139,1869,231,707,754,97,907,1285,242,538,770,112,1897,109,5385,2797,7,589,436,27,346,45,362,139,577,149,19,35,517,1051,1397,468,1229,727,116,99,1642,112,693,1150,345,1065,1038,483,1202,596,649,115,150,33,565,77,133,441,905,922,25,1176,1998,504,370,17,83,91,397,1528,974,533,1722,369,268,536,74,6,1065,2658,27,207,572,291,179,1356,0,44,534,5,62,2381,387,486,2737,600,958,143,150,10,2886,32,187,1198,508,448,178,137,53,9,537,485
hsa-let-7c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7c-5p,57,386,223,133,101,163,4,221,1,176,21,28,236,166,165,2,3,3,5,13,100,3,2,16,114,60,7,1,6,5,84,125,444,67,17,275,29,53,11,0,110,60,2,260,354,219,6,195,27,87,10,0,0,285,181,61,47,49,193,98,120,683,206,5,3,63,1,283,181,18,64,32,1,489,143,9,560,119,101,224,94,395,150,57,40,2,81,89,18,4,267,323,32,58,24,14,21,1,3,122,344,271,188,300,34,31,11,61,89,339,142,93,542,19,18,465,29,27,200,129,385,116,344,8,180,13,11,114,0,497,76,276,34,58,12,210,0,544,204,34,7,88,236,152,103,124,108,60,79,217,229,19,28,36,340,17,67,28,228,22,55,32,15,194,303,34,63,127,17,101,9,228,115,0,77,18,0,30,5,18,3,43,8,1,1,86,230,352,131,244,136,6,46,181,14,44,82,70,262,196,121,101,113,21,6,16,6,65,1,18,66,95,206,5,197,128,30,29,2,9,3,98,353,181,115,163,94,12,43,4,2,145,214,2,30,42,21,5,63,0,1,29,0,24,264,64,177,230,106,55,16,8,0,227,8,9,220,103,96,10,18,9,0,56,121
hsa-let-7d-3p,164,78,152,57,91,77,15,88,1,94,51,44,103,94,121,5,16,29,10,11,111,29,20,96,76,81,13,26,2,15,89,22,70,14,33,45,47,40,10,13,27,85,1,86,144,91,9,90,55,86,57,10,2,264,95,44,29,58,70,43,73,180,93,33,26,37,11,154,58,58,92,36,4,93,60,51,177,55,62,135,46,75,29,66,98,11,54,36,27,28,78,58,52,37,91,75,89,2,15,55,106,30,95,46,69,77,38,62,102,116,105,20,124,74,45,197,112,58,147,49,131,39,188,14,78,22,35,140,3,302,163,110,56,68,39,78,2,200,156,60,42,36,65,80,47,58,42,32,47,123,145,22,69,83,151,61,48,21,92,61,129,67,114,56,152,34,66,54,32,45,48,47,102,1,89,42,14,36,61,19,27,75,40,3,30,86,56,58,36,45,36,37,94,93,44,91,108,57,86,21,66,52,40,27,42,55,18,24,24,38,54,62,75,27,54,63,51,79,42,32,12,36,91,76,102,39,58,41,71,16,4,144,547,40,95,107,153,8,57,0,25,78,15,106,52,67,113,132,48,116,30,29,2,115,26,42,66,98,34,29,81,11,3,44,85
hsa-let-7d-5p,23,229,213,84,81,210,1,156,0,116,5,7,251,102,89,3,0,0,4,4,39,0,2,1,30,38,6,1,1,3,46,134,426,50,22,156,16,16,4,1,41,14,1,198,247,128,2,145,11,207,5,0,0,160,99,26,21,37,272,98,55,677,166,0,3,65,3,295,176,2,37,12,0,341,142,4,789,67,87,113,56,290,71,22,26,0,67,114,8,5,179,185,7,18,9,6,15,0,4,69,144,213,149,142,10,8,20,162,23,280,66,66,270,22,5,611,5,19,97,65,304,116,302,2,177,4,3,84,1,1797,16,89,19,19,6,74,0,605,211,16,0,112,142,158,68,64,160,36,92,162,294,8,2,29,286,7,12,9,131,9,29,24,10,201,133,15,16,134,2,52,6,167,41,0,11,15,0,6,12,11,7,42,23,3,0,52,314,254,163,328,169,0,15,236,4,16,21,26,296,116,19,24,71,8,6,5,3,93,1,17,27,24,169,1,159,41,26,6,1,2,2,69,251,131,113,71,63,6,44,0,0,151,215,0,12,13,3,0,16,0,0,14,0,8,178,31,130,93,79,27,8,2,1,126,0,2,110,34,63,4,9,2,0,28,136
hsa-let-7e-3p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
