,post_vs_pre_in_asthma,asthma_vs_healthy_at_post,asthma_vs_healthy_at_pre,post_vs_pre_in_healthy,err,warn
hsa-let-7a-3p,0.006406212,2.88E-07,0.465309607,5.43E-05,No error,gss warnin
hsa-let-7a-5p,0,1.04E-79,0.601006268,9.30E-218,No error,No warn
hsa-let-7b-3p,1,0.761632934,0.410516604,1,No error,No warn
hsa-let-7b-5p,4.57E-67,0.466421078,1,1.37E-66,No error,No warn
hsa-let-7c-5p,0.038640997,0.850277541,0.697627682,0.014262516,No error,No warn
hsa-let-7d-3p,6.57E-08,1,1,4.66E-08,No error,No warn
hsa-let-7d-5p,4.52E-11,0.611139309,0.717547608,5.62E-12,No error,No warn
hsa-let-7e-5p,6.04E-10,0.820338134,0.710688478,5.73E-09,No error,No warn
hsa-let-7f-5p,2.00E-218,1.67E-124,1,3.81E-68,No error,No warn
hsa-let-7g-5p,0.027682104,0.050612214,1,0.381143979,No error,No warn
hsa-let-7i-5p,4.34E-37,0.173350136,0.692221223,1.15E-36,No error,No warn
hsa-miR-1-3p,1.87E-17,6.45E-05,0.651592038,6.92E-16,No error,No warn
hsa-miR-100-5p,1,1,1,1,No error,gss warnin
hsa-miR-101-3p,6.46E-23,7.01E-23,0.881064325,0.145285501,No error,No warn
hsa-miR-10399-3p,0.6245578,0.299268572,0.308654383,1,No error,No warn
hsa-miR-103a-3p,3.30E-07,7.41E-06,1,0.03011725,No error,No warn
hsa-miR-106a-5p,0.052274038,0.044334708,0.051739015,0.011735725,No error,No warn
hsa-miR-106b-3p,0.065526521,0.909749474,0.63165693,0.024857435,No error,No warn
hsa-miR-106b-5p,0.793208918,0.691860286,0.539310526,1,No error,No warn
hsa-miR-107,1,0.035216896,0.524909105,1,No error,No warn
hsa-miR-10a-5p,3.39E-08,0.020974888,1,8.70E-08,No error,No warn
hsa-miR-10b-5p,3.42E-32,3.93E-12,0.863387219,1.65E-19,No error,No warn
hsa-miR-11400,0.000129417,0.985910709,0.809210788,2.21E-05,No error,No warn
hsa-miR-11401,0.004343115,0.058284764,0.813950495,0.022779613,No error,No warn
hsa-miR-1180-3p,1,1,1,1,No error,No warn
hsa-miR-122-5p,6.74E-27,0,0.618969965,2.76E-21,No error,No warn
hsa-miR-1246,1,1,1,1,No error,gss warnin
hsa-miR-1255b-5p,0.077616784,0.389709597,0.215644273,0.029300022,No error,No warn
